above_list,zip,month,year
0.195,98001,1,2012
0.111,98002,1,2012
0.213,98003,1,2012
0.051,98004,1,2012
0.048,98005,1,2012
0.12,98006,1,2012
0.244,98007,1,2012
0.133,98008,1,2012
0.077,98010,1,2012
0.261,98011,1,2012
0.226,98012,1,2012
0.167,98014,1,2012
0.489,98019,1,2012
0.085,98020,1,2012
0.257,98021,1,2012
0.122,98022,1,2012
0.294,98023,1,2012
0,98024,1,2012
0.147,98026,1,2012
0.146,98027,1,2012
0.135,98028,1,2012
0.092,98029,1,2012
0.284,98030,1,2012
0.231,98031,1,2012
0.257,98032,1,2012
0.12,98033,1,2012
0.207,98034,1,2012
0.222,98036,1,2012
0.289,98037,1,2012
0.234,98038,1,2012
0.231,98039,1,2012
0.079,98040,1,2012
0.172,98042,1,2012
0.234,98043,1,2012
0.156,98045,1,2012
0.333,98047,1,2012
0,98050,1,2012
0,98051,1,2012
0.08,98052,1,2012
0.051,98053,1,2012
0.239,98055,1,2012
0.193,98056,1,2012
0.286,98057,1,2012
0.282,98058,1,2012
0.228,98059,1,2012
0.172,98065,1,2012
0.111,98070,1,2012
0.06,98072,1,2012
0.055,98074,1,2012
0.102,98075,1,2012
0.091,98077,1,2012
0.202,98087,1,2012
0.207,98092,1,2012
0.02,98101,1,2012
0.205,98102,1,2012
0.155,98103,1,2012
0.143,98104,1,2012
0.151,98105,1,2012
0.158,98106,1,2012
0.176,98107,1,2012
0.24,98108,1,2012
0.164,98109,1,2012
0.115,98112,1,2012
0.111,98115,1,2012
0.113,98116,1,2012
0.205,98117,1,2012
0.293,98118,1,2012
0.152,98119,1,2012
0.159,98121,1,2012
0.131,98122,1,2012
0.159,98125,1,2012
0.296,98126,1,2012
0.158,98133,1,2012
0.186,98136,1,2012
0.17,98144,1,2012
0.271,98146,1,2012
0.25,98148,1,2012
0.183,98155,1,2012
0.5,98164,1,2012
0.153,98166,1,2012
0.287,98168,1,2012
0.135,98177,1,2012
0.224,98178,1,2012
0.22,98188,1,2012
0.157,98198,1,2012
0.114,98199,1,2012
0.193,98201,1,2012
0.26,98203,1,2012
0.248,98204,1,2012
0.2,98205,1,2012
0,98206,1,2012
0.242,98208,1,2012
0.222,98223,1,2012
0,98224,1,2012
0,98241,1,2012
0.083,98251,1,2012
0.292,98252,1,2012
0,98256,1,2012
0.314,98258,1,2012
0.27,98270,1,2012
0.456,98271,1,2012
0.208,98272,1,2012
0.194,98275,1,2012
0,98288,1,2012
0.145,98290,1,2012
0.141,98292,1,2012
0.333,98294,1,2012
0.182,98296,1,2012
0.167,98001,2,2012
0.183,98002,2,2012
0.165,98003,2,2012
0.076,98004,2,2012
0.086,98005,2,2012
0.12,98006,2,2012
0.179,98007,2,2012
0.104,98008,2,2012
0,98010,2,2012
0.28,98011,2,2012
0.198,98012,2,2012
0.231,98014,2,2012
0.438,98019,2,2012
0.022,98020,2,2012
0.25,98021,2,2012
0.128,98022,2,2012
0.35,98023,2,2012
0,98024,2,2012
0.181,98026,2,2012
0.176,98027,2,2012
0.174,98028,2,2012
0.141,98029,2,2012
0.235,98030,2,2012
0.267,98031,2,2012
0.161,98032,2,2012
0.161,98033,2,2012
0.197,98034,2,2012
0.209,98036,2,2012
0.171,98037,2,2012
0.25,98038,2,2012
0.111,98039,2,2012
0.085,98040,2,2012
0.171,98042,2,2012
0.244,98043,2,2012
0.176,98045,2,2012
0.462,98047,2,2012
0,98050,2,2012
0,98051,2,2012
0.093,98052,2,2012
0.064,98053,2,2012
0.164,98055,2,2012
0.153,98056,2,2012
0.182,98057,2,2012
0.337,98058,2,2012
0.204,98059,2,2012
0.107,98065,2,2012
0.12,98070,2,2012
0.16,98072,2,2012
0.064,98074,2,2012
0.116,98075,2,2012
0.067,98077,2,2012
0.21,98087,2,2012
0.239,98092,2,2012
0.021,98101,2,2012
0.17,98102,2,2012
0.189,98103,2,2012
0.063,98104,2,2012
0.16,98105,2,2012
0.15,98106,2,2012
0.191,98107,2,2012
0.14,98108,2,2012
0.133,98109,2,2012
0.121,98112,2,2012
0.134,98115,2,2012
0.123,98116,2,2012
0.157,98117,2,2012
0.253,98118,2,2012
0.171,98119,2,2012
0.128,98121,2,2012
0.11,98122,2,2012
0.063,98125,2,2012
0.264,98126,2,2012
0.115,98133,2,2012
0,98134,2,2012
0.212,98136,2,2012
0.19,98144,2,2012
0.279,98146,2,2012
0.28,98148,2,2012
0.194,98155,2,2012
0.5,98164,2,2012
0.151,98166,2,2012
0.27,98168,2,2012
0.125,98177,2,2012
0.25,98178,2,2012
0.261,98188,2,2012
0.154,98198,2,2012
0.132,98199,2,2012
0.28,98201,2,2012
0.258,98203,2,2012
0.243,98204,2,2012
0,98205,2,2012
0.228,98208,2,2012
0.235,98223,2,2012
0,98224,2,2012
0,98241,2,2012
0.111,98251,2,2012
0.32,98252,2,2012
0,98256,2,2012
0.244,98258,2,2012
0.206,98270,2,2012
0.353,98271,2,2012
0.197,98272,2,2012
0.129,98275,2,2012
0.133,98290,2,2012
0.172,98292,2,2012
0.333,98294,2,2012
0.206,98296,2,2012
0.198,98001,3,2012
0.2,98002,3,2012
0.231,98003,3,2012
0.091,98004,3,2012
0.19,98005,3,2012
0.168,98006,3,2012
0.086,98007,3,2012
0.123,98008,3,2012
0.077,98010,3,2012
0.31,98011,3,2012
0.236,98012,3,2012
0.273,98014,3,2012
0.512,98019,3,2012
0.02,98020,3,2012
0.237,98021,3,2012
0.136,98022,3,2012
0.379,98023,3,2012
0.231,98024,3,2012
0.25,98026,3,2012
0.221,98027,3,2012
0.17,98028,3,2012
0.153,98029,3,2012
0.235,98030,3,2012
0.273,98031,3,2012
0.212,98032,3,2012
0.177,98033,3,2012
0.163,98034,3,2012
0.222,98036,3,2012
0.135,98037,3,2012
0.259,98038,3,2012
0,98039,3,2012
0.052,98040,3,2012
0.198,98042,3,2012
0.268,98043,3,2012
0.189,98045,3,2012
0.55,98047,3,2012
0,98051,3,2012
0.114,98052,3,2012
0.122,98053,3,2012
0.2,98055,3,2012
0.239,98056,3,2012
0.133,98057,3,2012
0.34,98058,3,2012
0.183,98059,3,2012
0.167,98065,3,2012
0.12,98070,3,2012
0.155,98072,3,2012
0.1,98074,3,2012
0.105,98075,3,2012
0,98077,3,2012
0.242,98087,3,2012
0.237,98092,3,2012
0,98101,3,2012
0.193,98102,3,2012
0.319,98103,3,2012
0.143,98104,3,2012
0.16,98105,3,2012
0.161,98106,3,2012
0.205,98107,3,2012
0.225,98108,3,2012
0.196,98109,3,2012
0.13,98112,3,2012
0.19,98115,3,2012
0.131,98116,3,2012
0.276,98117,3,2012
0.208,98118,3,2012
0.255,98119,3,2012
0.105,98121,3,2012
0.164,98122,3,2012
0.132,98125,3,2012
0.239,98126,3,2012
0.235,98133,3,2012
0,98134,3,2012
0.315,98136,3,2012
0.234,98144,3,2012
0.148,98146,3,2012
0.111,98148,3,2012
0.162,98155,3,2012
1,98164,3,2012
0.205,98166,3,2012
0.238,98168,3,2012
0.122,98177,3,2012
0.271,98178,3,2012
0.194,98188,3,2012
0.145,98198,3,2012
0.172,98199,3,2012
0.303,98201,3,2012
0.237,98203,3,2012
0.237,98204,3,2012
0,98205,3,2012
0.25,98208,3,2012
0.229,98223,3,2012
0,98224,3,2012
0,98241,3,2012
0.1,98251,3,2012
0.462,98252,3,2012
0,98256,3,2012
0.243,98258,3,2012
0.221,98270,3,2012
0.261,98271,3,2012
0.176,98272,3,2012
0.186,98275,3,2012
0,98288,3,2012
0.185,98290,3,2012
0.18,98292,3,2012
0.389,98294,3,2012
0.213,98296,3,2012
0.213,98001,4,2012
0.274,98002,4,2012
0.205,98003,4,2012
0.101,98004,4,2012
0.246,98005,4,2012
0.227,98006,4,2012
0.231,98007,4,2012
0.167,98008,4,2012
0.188,98010,4,2012
0.319,98011,4,2012
0.25,98012,4,2012
0.105,98014,4,2012
0.442,98019,4,2012
0.015,98020,4,2012
0.231,98021,4,2012
0.182,98022,4,2012
0.324,98023,4,2012
0.2,98024,4,2012
0.321,98026,4,2012
0.189,98027,4,2012
0.188,98028,4,2012
0.161,98029,4,2012
0.321,98030,4,2012
0.306,98031,4,2012
0.21,98032,4,2012
0.208,98033,4,2012
0.189,98034,4,2012
0.225,98036,4,2012
0.206,98037,4,2012
0.281,98038,4,2012
0.133,98039,4,2012
0.111,98040,4,2012
0.204,98042,4,2012
0.302,98043,4,2012
0.195,98045,4,2012
0.367,98047,4,2012
0,98050,4,2012
0,98051,4,2012
0.158,98052,4,2012
0.103,98053,4,2012
0.211,98055,4,2012
0.231,98056,4,2012
0.208,98057,4,2012
0.346,98058,4,2012
0.176,98059,4,2012
0.227,98065,4,2012
0.12,98070,4,2012
0.233,98072,4,2012
0.119,98074,4,2012
0.112,98075,4,2012
0.048,98077,4,2012
0.345,98087,4,2012
0.26,98092,4,2012
0.071,98101,4,2012
0.169,98102,4,2012
0.339,98103,4,2012
0.111,98104,4,2012
0.35,98105,4,2012
0.173,98106,4,2012
0.247,98107,4,2012
0.209,98108,4,2012
0.183,98109,4,2012
0.17,98112,4,2012
0.294,98115,4,2012
0.152,98116,4,2012
0.373,98117,4,2012
0.239,98118,4,2012
0.292,98119,4,2012
0.096,98121,4,2012
0.247,98122,4,2012
0.191,98125,4,2012
0.274,98126,4,2012
0.242,98133,4,2012
0,98134,4,2012
0.242,98136,4,2012
0.272,98144,4,2012
0.183,98146,4,2012
0.077,98148,4,2012
0.219,98155,4,2012
0.2,98166,4,2012
0.163,98168,4,2012
0.158,98177,4,2012
0.353,98178,4,2012
0.25,98188,4,2012
0.233,98198,4,2012
0.254,98199,4,2012
0.343,98201,4,2012
0.265,98203,4,2012
0.272,98204,4,2012
0,98205,4,2012
0.295,98208,4,2012
0.267,98223,4,2012
0,98224,4,2012
0,98241,4,2012
0.222,98251,4,2012
0.393,98252,4,2012
0.306,98258,4,2012
0.284,98270,4,2012
0.21,98271,4,2012
0.2,98272,4,2012
0.125,98275,4,2012
0,98288,4,2012
0.211,98290,4,2012
0.185,98292,4,2012
0,98293,4,2012
0.286,98294,4,2012
0.209,98296,4,2012
0.25,98001,5,2012
0.233,98002,5,2012
0.223,98003,5,2012
0.148,98004,5,2012
0.216,98005,5,2012
0.302,98006,5,2012
0.254,98007,5,2012
0.244,98008,5,2012
0.227,98010,5,2012
0.278,98011,5,2012
0.264,98012,5,2012
0.048,98014,5,2012
0.395,98019,5,2012
0.074,98020,5,2012
0.232,98021,5,2012
0.239,98022,5,2012
0.39,98023,5,2012
0.214,98024,5,2012
0.315,98026,5,2012
0.194,98027,5,2012
0.161,98028,5,2012
0.157,98029,5,2012
0.339,98030,5,2012
0.296,98031,5,2012
0.23,98032,5,2012
0.207,98033,5,2012
0.241,98034,5,2012
0.286,98036,5,2012
0.284,98037,5,2012
0.305,98038,5,2012
0.222,98039,5,2012
0.115,98040,5,2012
0.228,98042,5,2012
0.364,98043,5,2012
0.255,98045,5,2012
0.3,98047,5,2012
0,98050,5,2012
0,98051,5,2012
0.21,98052,5,2012
0.167,98053,5,2012
0.282,98055,5,2012
0.246,98056,5,2012
0.185,98057,5,2012
0.318,98058,5,2012
0.141,98059,5,2012
0.268,98065,5,2012
0.147,98070,5,2012
0.221,98072,5,2012
0.147,98074,5,2012
0.12,98075,5,2012
0.125,98077,5,2012
0.374,98087,5,2012
0.301,98092,5,2012
0.063,98101,5,2012
0.203,98102,5,2012
0.359,98103,5,2012
0.182,98104,5,2012
0.37,98105,5,2012
0.232,98106,5,2012
0.247,98107,5,2012
0.311,98108,5,2012
0.213,98109,5,2012
0.183,98112,5,2012
0.35,98115,5,2012
0.181,98116,5,2012
0.46,98117,5,2012
0.271,98118,5,2012
0.258,98119,5,2012
0.109,98121,5,2012
0.287,98122,5,2012
0.32,98125,5,2012
0.347,98126,5,2012
0.27,98133,5,2012
0,98134,5,2012
0.284,98136,5,2012
0.3,98144,5,2012
0.238,98146,5,2012
0.118,98148,5,2012
0.295,98155,5,2012
0,98164,5,2012
0.234,98166,5,2012
0.196,98168,5,2012
0.222,98177,5,2012
0.355,98178,5,2012
0.245,98188,5,2012
0.307,98198,5,2012
0.267,98199,5,2012
0.358,98201,5,2012
0.289,98203,5,2012
0.347,98204,5,2012
0,98206,5,2012
0.337,98208,5,2012
0.29,98223,5,2012
0,98224,5,2012
0,98241,5,2012
0.167,98251,5,2012
0.292,98252,5,2012
0.335,98258,5,2012
0.34,98270,5,2012
0.231,98271,5,2012
0.247,98272,5,2012
0.225,98275,5,2012
0.333,98288,5,2012
0.231,98290,5,2012
0.224,98292,5,2012
0,98293,5,2012
0.375,98294,5,2012
0.246,98296,5,2012
0.26,98001,6,2012
0.225,98002,6,2012
0.186,98003,6,2012
0.213,98004,6,2012
0.214,98005,6,2012
0.337,98006,6,2012
0.293,98007,6,2012
0.312,98008,6,2012
0.217,98010,6,2012
0.245,98011,6,2012
0.287,98012,6,2012
0,98014,6,2012
0.304,98019,6,2012
0.113,98020,6,2012
0.252,98021,6,2012
0.254,98022,6,2012
0.358,98023,6,2012
0,98024,6,2012
0.336,98026,6,2012
0.151,98027,6,2012
0.177,98028,6,2012
0.21,98029,6,2012
0.378,98030,6,2012
0.313,98031,6,2012
0.25,98032,6,2012
0.216,98033,6,2012
0.337,98034,6,2012
0.26,98036,6,2012
0.304,98037,6,2012
0.358,98038,6,2012
0.278,98039,6,2012
0.196,98040,6,2012
0.261,98042,6,2012
0.394,98043,6,2012
0.22,98045,6,2012
0.289,98047,6,2012
0,98050,6,2012
0.167,98051,6,2012
0.253,98052,6,2012
0.153,98053,6,2012
0.286,98055,6,2012
0.269,98056,6,2012
0.25,98057,6,2012
0.345,98058,6,2012
0.163,98059,6,2012
0.301,98065,6,2012
0.111,98070,6,2012
0.283,98072,6,2012
0.174,98074,6,2012
0.137,98075,6,2012
0.167,98077,6,2012
0.358,98087,6,2012
0.315,98092,6,2012
0.053,98101,6,2012
0.209,98102,6,2012
0.363,98103,6,2012
0.182,98104,6,2012
0.364,98105,6,2012
0.232,98106,6,2012
0.259,98107,6,2012
0.305,98108,6,2012
0.231,98109,6,2012
0.214,98112,6,2012
0.394,98115,6,2012
0.262,98116,6,2012
0.455,98117,6,2012
0.327,98118,6,2012
0.265,98119,6,2012
0.151,98121,6,2012
0.288,98122,6,2012
0.333,98125,6,2012
0.343,98126,6,2012
0.309,98133,6,2012
0.216,98136,6,2012
0.29,98144,6,2012
0.268,98146,6,2012
0.136,98148,6,2012
0.328,98155,6,2012
0,98164,6,2012
0.224,98166,6,2012
0.233,98168,6,2012
0.269,98177,6,2012
0.342,98178,6,2012
0.222,98188,6,2012
0.344,98198,6,2012
0.272,98199,6,2012
0.402,98201,6,2012
0.357,98203,6,2012
0.316,98204,6,2012
0,98205,6,2012
0,98206,6,2012
0.375,98208,6,2012
0.295,98223,6,2012
0,98224,6,2012
0,98241,6,2012
0.222,98251,6,2012
0.208,98252,6,2012
0.337,98258,6,2012
0.391,98270,6,2012
0.263,98271,6,2012
0.289,98272,6,2012
0.237,98275,6,2012
0.5,98288,6,2012
0.213,98290,6,2012
0.228,98292,6,2012
0,98293,6,2012
0.429,98294,6,2012
0.267,98296,6,2012
0.28,98001,7,2012
0.24,98002,7,2012
0.196,98003,7,2012
