year,city,county,zip,multiple_offers
2012,,King County,98004,0.732
2012,,King County,98006,0.804
2012,,King County,98028,0.471
2012,,King County,98053,0.378
2012,,King County,98056,0.579
2012,,King County,98059,0.571
2012,,King County,98074,0.512
2012,,King County,98133,0.512
2012,,King County,98146,0.133
2012,,King County,98155,0.563
2012,,King County,98166,0.333
2012,,King County,98177,0.52
2012,,Snohomish County,98012,0.448
2012,,Snohomish County,98021,0.4
2012,,Snohomish County,98036,0.429
2012,Bellevue,King County,98005,0.778
2012,Bellevue,King County,98007,0.833
2012,Bellevue,King County,98008,0.818
2012,Bothell,King County,98011,0.611
2012,Carnation,King County,98014,0.667
2012,Duvall,King County,98019,0.2
2012,Edmonds,Snohomish County,98020,0.222
2012,Edmonds,Snohomish County,98026,0.6
2012,Everett,Snohomish County,98208,0
2012,Issaquah,King County,98027,0.48
2012,Issaquah,King County,98029,0.636
2012,Kent,King County,98031,0.143
2012,Kent,King County,98042,0.6
2012,Kirkland,King County,98033,0.712
2012,Kirkland,King County,98034,0.514
2012,Lynnwood,Snohomish County,98087,0.143
2012,Maple Valley,King County,98038,0.2
2012,Mercer Island,King County,98040,0.583
2012,Mountlake Terrace,Snohomish County,98043,0.2
2012,Mukilteo,Snohomish County,98275,0.667
2012,Redmond,King County,98052,0.641
2012,Renton,King County,98055,0.5
2012,Renton,King County,98058,0.286
2012,Sammamish,King County,98075,0.516
2012,Seattle,King County,98101,0.444
2012,Seattle,King County,98102,0.542
2012,Seattle,King County,98103,0.683
2012,Seattle,King County,98105,0.558
2012,Seattle,King County,98106,0.429
2012,Seattle,King County,98107,0.553
2012,Seattle,King County,98108,0.1
2012,Seattle,King County,98109,0.583
2012,Seattle,King County,98112,0.633
2012,Seattle,King County,98115,0.605
2012,Seattle,King County,98116,0.371
2012,Seattle,King County,98117,0.707
2012,Seattle,King County,98118,0.667
2012,Seattle,King County,98119,0.532
2012,Seattle,King County,98121,0.375
2012,Seattle,King County,98122,0.744
2012,Seattle,King County,98125,0.564
2012,Seattle,King County,98126,0.438
2012,Seattle,King County,98136,0.391
2012,Seattle,King County,98144,0.71
2012,Seattle,King County,98199,0.615
2012,Snohomish,Snohomish County,98290,0.4
2012,Snohomish,Snohomish County,98296,0.4
2012,Snoqualmie,King County,98065,0.333
2012,Woodinville,,98072,0.409
2012,Woodinville,King County,98077,0.533
2013,,,98020,0.5
2013,,,98036,0.316
2013,,King County,98001,0.143
2013,,King County,98004,0.771
2013,,King County,98028,0.652
2013,,King County,98042,0.545
2013,,King County,98056,0.577
2013,,King County,98059,0.558
2013,,King County,98075,0.75
2013,,King County,98133,0.522
2013,,King County,98146,0.5
2013,,King County,98155,0.575
2013,,King County,98166,0.385
2013,,King County,98168,0.167
2013,,King County,98177,0.606
2013,,Snohomish County,98012,0.418
2013,Auburn,King County,98092,0
2013,Bellevue,King County,98005,0.676
2013,Bellevue,King County,98006,0.76
2013,Bellevue,King County,98007,0.889
2013,Bellevue,King County,98008,0.891
2013,Bothell,King County,98011,0.636
2013,Bothell,Snohomish County,98021,0.412
2013,Duvall,King County,98019,0.571
2013,Edmonds,Snohomish County,98026,0.688
2013,Everett,Snohomish County,98201,0.375
2013,Everett,Snohomish County,98203,0.333
2013,Everett,Snohomish County,98208,0.294
2013,Fall City,King County,98024,0.25
2013,Federal Way,King County,98023,0.143
2013,Issaquah,King County,98027,0.657
2013,Issaquah,King County,98029,0.769
2013,Kent,King County,98031,0.571
2013,Kirkland,King County,98033,0.734
2013,Kirkland,King County,98034,0.611
2013,Lake Stevens,Snohomish County,98258,0.286
2013,Lynnwood,Snohomish County,98037,0.5
2013,Maple Valley,King County,98038,0.364
2013,Mercer Island,King County,98040,0.7
2013,Mountlake Terrace,Snohomish County,98043,0.4
2013,Mukilteo,Snohomish County,98275,0.462
2013,North Bend,King County,98045,0.5
2013,Redmond,King County,98052,0.7
2013,Redmond,King County,98053,0.564
2013,Renton,King County,98055,0.8
2013,Renton,King County,98058,0.333
2013,Sammamish,King County,98074,0.843
2013,Seattle,King County,98101,0.45
2013,Seattle,King County,98102,0.583
2013,Seattle,King County,98103,0.766
2013,Seattle,King County,98105,0.816
2013,Seattle,King County,98106,0.263
2013,Seattle,King County,98107,0.754
2013,Seattle,King County,98108,0.556
2013,Seattle,King County,98109,0.8
2013,Seattle,King County,98112,0.6
2013,Seattle,King County,98115,0.728
2013,Seattle,King County,98116,0.649
2013,Seattle,King County,98117,0.692
2013,Seattle,King County,98118,0.63
2013,Seattle,King County,98119,0.435
2013,Seattle,King County,98121,0.385
2013,Seattle,King County,98122,0.679
2013,Seattle,King County,98125,0.75
2013,Seattle,King County,98126,0.615
2013,Seattle,King County,98136,0.563
2013,Seattle,King County,98144,0.603
2013,Seattle,King County,98178,0.286
2013,Seattle,King County,98199,0.661
2013,Snohomish,Snohomish County,98290,0.571
2013,Snohomish,Snohomish County,98296,0.65
2013,Snoqualmie,King County,98065,0.364
2013,Woodinville,,98072,0.714
2013,Woodinville,,98077,0.333
2014,,,98155,0.522
2014,,King County,98001,0.333
2014,,King County,98004,0.568
2014,,King County,98028,0.621
2014,,King County,98042,0.385
2014,,King County,98056,0.395
2014,,King County,98059,0.333
2014,,King County,98074,0.56
2014,,King County,98075,0.459
2014,,King County,98133,0.508
2014,,King County,98146,0.316
2014,,King County,98166,0.188
2014,,King County,98177,0.3
2014,,King County,98178,0.357
2014,,King County,98188,0.4
