year,zip,sold
2012,98001,397
2012,98002,337
2012,98003,365
2012,98004,749
2012,98005,282
2012,98006,580
2012,98007,225
2012,98008,332
2012,98010,70
2012,98011,358
2012,98012,1119
2012,98014,93
2012,98019,223
2012,98020,342
2012,98021,511
2012,98022,215
2012,98023,609
2012,98024,61
2012,98025,
2012,98026,484
2012,98027,466
2012,98028,346
2012,98029,613
2012,98030,386
2012,98031,444
2012,98032,303
2012,98033,744
2012,98034,717
2012,98036,452
2012,98037,265
2012,98038,605
2012,98039,53
2012,98040,344
2012,98042,625
2012,98043,250
2012,98045,192
2012,98047,93
2012,98050,5
2012,98051,30
2012,98052,852
2012,98053,461
2012,98055,278
2012,98056,538
2012,98057,105
2012,98058,521
2012,98059,569
2012,98065,325
2012,98068,3
2012,98070,145
2012,98072,344
2012,98074,526
2012,98075,438
2012,98077,208
2012,98087,517
2012,98092,457
2012,98101,245
2012,98102,303
2012,98103,716
2012,98104,71
2012,98105,310
2012,98106,293
2012,98107,371
2012,98108,237
2012,98109,313
2012,98112,346
2012,98115,664
2012,98116,372
2012,98117,481
2012,98118,487
2012,98119,323
2012,98121,232
2012,98122,368
2012,98125,432
2012,98126,372
2012,98133,526
2012,98134,5
2012,98136,284
2012,98144,327
2012,98146,302
2012,98148,91
2012,98155,423
2012,98164,3
2012,98166,298
2012,98168,352
2012,98177,276
2012,98178,273
2012,98188,195
2012,98198,402
2012,98199,352
2012,98201,333
2012,98203,445
2012,98204,392
2012,98205,5
2012,98206,1
2012,98208,748
2012,98213,
2012,98223,534
2012,98224,4
2012,98235,1
2012,98241,22
2012,98251,47
2012,98252,118
2012,98256,2
2012,98258,754
2012,98270,726
2012,98271,377
2012,98272,280
2012,98275,288
2012,98287,1
2012,98288,6
2012,98290,437
2012,98292,242
2012,98293,1
2012,98294,86
2012,98296,430
2012,98354,9
2012,98391,
2012,98422,
2012,98526,
2013,98001,457
2013,98002,386
2013,98003,400
2013,98004,699
2013,98005,301
2013,98006,676
2013,98007,271
2013,98008,387
2013,98010,81
2013,98011,369
2013,98012,1227
2013,98014,103
2013,98019,216
2013,98020,390
2013,98021,527
2013,98022,210
2013,98023,603
2013,98024,86
2013,98025,1
2013,98026,566
2013,98027,538
2013,98028,370
2013,98029,781
2013,98030,428
2013,98031,391
2013,98032,313
2013,98033,856
2013,98034,883
2013,98036,557
2013,98037,338
2013,98038,609
2013,98039,63
2013,98040,405
2013,98042,712
2013,98043,255
2013,98045,298
2013,98047,77
2013,98050,5
2013,98051,36
2013,98052,1030
2013,98053,523
2013,98055,297
2013,98056,562
2013,98057,123
2013,98058,594
2013,98059,670
2013,98065,388
2013,98068,6
2013,98070,152
2013,98072,381
2013,98074,631
2013,98075,502
2013,98077,234
2013,98087,492
2013,98092,665
2013,98101,204
2013,98102,363
2013,98103,836
2013,98104,63
2013,98105,387
2013,98106,346
2013,98107,419
2013,98108,278
2013,98109,373
2013,98112,440
2013,98115,728
2013,98116,440
2013,98117,633
2013,98118,556
2013,98119,381
2013,98121,285
2013,98122,486
2013,98125,513
2013,98126,418
2013,98133,610
2013,98134,3
2013,98136,305
2013,98144,471
2013,98146,348
2013,98148,93
2013,98155,516
2013,98164,6
2013,98166,319
2013,98168,352
2013,98177,322
2013,98178,361
2013,98188,232
2013,98198,449
2013,98199,446
2013,98201,413
2013,98203,459
2013,98204,414
2013,98205,7
2013,98206,2
2013,98208,853
2013,98213,
2013,98223,562
2013,98224,2
2013,98235,
2013,98241,28
2013,98251,62
2013,98252,155
2013,98256,10
2013,98258,844
2013,98270,764
2013,98271,345
2013,98272,377
2013,98275,348
2013,98287,
2013,98288,6
2013,98290,504
2013,98292,339
2013,98293,1
2013,98294,68
2013,98296,388
2013,98354,11
2013,98391,1
2013,98422,1
2013,98526,1
2014,98001,438
2014,98002,365
2014,98003,417
2014,98004,579
2014,98005,260
2014,98006,689
2014,98007,296
2014,98008,310
2014,98010,76
2014,98011,409
2014,98012,1314
2014,98014,123
2014,98019,185
2014,98020,337
2014,98021,514
2014,98022,292
2014,98023,659
2014,98024,65
2014,98025,
2014,98026,582
2014,98027,511
2014,98028,367
2014,98029,700
2014,98030,397
2014,98031,374
2014,98032,357
2014,98033,834
2014,98034,903
2014,98036,588
2014,98037,312
2014,98038,694
2014,98039,58
2014,98040,388
2014,98042,644
2014,98043,290
2014,98045,289
2014,98047,49
2014,98050,11
2014,98051,32
2014,98052,1060
2014,98053,481
2014,98055,301
2014,98056,573
2014,98057,101
2014,98058,538
2014,98059,665
2014,98065,430
2014,98068,4
2014,98070,169
2014,98072,359
2014,98074,569
2014,98075,515
2014,98077,215
2014,98087,562
2014,98092,649
2014,98101,192
2014,98102,350
2014,98103,774
2014,98104,71
2014,98105,325
2014,98106,403
2014,98107,463
2014,98108,265
2014,98109,355
2014,98112,360
2014,98115,733
